Name,Postcode,Latitude,Longitude
School_937,N11 2QG,51.6061775,-0.12398489
School_938,N11 2QG,51.6061775,-0.12398489
School_974,N11 2AF,51.60791701,-0.133257129
School_2033,N22 8ES,51.60183841,-0.115831755
School_2189,N22 8DZ,51.60177539,-0.114708043
School_3104,N22 8DZ,51.60177539,-0.114708043
School_3849,N22 8LB,51.60109949,-0.114057352
School_1561,WD4 9BS,51.7033732,-0.492005598
School_2149,E3 5LD,51.53328738,-0.03202073
School_4054,E3 2SE,51.52855975,-0.019869061
School_419,E3 5QY,51.53287316,-0.038973964
School_435,E3 5DN,51.53076813,-0.036238541
School_457,E3 4RB,51.52501651,-0.036457288
School_471,E3 2AD,51.5274944,-0.026561519
School_1852,E3 2AB,51.52786751,-0.02950088
School_2513,E3 2AT,51.52802743,-0.027778335
School_2517,E3 2AD,51.5274944,-0.026561519
School_895,N13 6HX,51.61100342,-0.105891192
School_907,N11 2HL,51.61372939,-0.125565642
School_912,N13 6JB,51.61103716,-0.105196526
School_3020,SL6 4PU,51.51629288,-0.750754478
School_683,DA7 4UN,51.46412806,0.124361473
School_689,DA7 4PH,51.46678783,0.139314891
School_2172,DA7 5BS,51.46765178,0.153033503
School_2229,DA7 4SL,51.46695833,0.128466882
School_1592,TN14 6EA,51.2742705,0.127061806
School_1596,TN13 2SA,51.28802273,0.146686428
School_3498,TN14 6AE,51.2823049,0.122414152
School_3925,TN14 6AE,51.2823049,0.122414152
School_3178,EC4M 9AD,51.51383541,-0.096794103
School_3718,EC4M 9AD,51.51383541,-0.096794103
School_1915,DA2 6JX,51.43468951,0.246603241
School_2257,DA1 1SQ,51.44140153,0.228556051
School_2755,DA1 1QE,51.43622191,0.235613436
School_1122,TW8 9QT,51.49374806,-0.295785982
School_1144,TW8 9JF,51.49056874,-0.313492823
School_1810,TW8 0BJ,51.48778875,-0.296598768
School_2607,TW8 9LB,51.49337161,-0.313922368
School_3056,TW8 0PG,51.48534929,-0.306368604
School_4050,TW8 0BL,51.48905817,-0.290516032
School_4076,TW8 0EX,51.49070646,-0.286997208
School_1467,CM15 9BX,51.62652343,0.304947883
School_1470,CM15 9BX,51.62652343,0.304947883
School_1476,CM15 9BY,51.62898399,0.303295299
School_1953,CM15 9BY,51.62868128,0.303597857
School_3013,CM15 9DA,51.62711574,0.30226148
School_1450,CM15 8BG,51.61741485,0.317213473
School_1481,CM15 8BE,51.617269,0.318679551
School_2670,CM15 8BE,51.617269,0.318679551
School_3049,CM14 4EX,51.61782073,0.304362524
School_3121,CM14 4JF,51.61588362,0.30820809
School_1802,CM14 5RY,51.61074956,0.290253711
School_1290,IG8 8NP,51.60391296,0.055193079
School_1744,IG8 7JQ,51.60707898,0.043825588
School_245,SW2 4JP,51.44808909,-0.126930777
School_247,SW2 5AP,51.45841647,-0.119296275
School_264,SW2 3NF,51.44474696,-0.121512785
School_1863,SW2 3ES,51.44443747,-0.120158395
School_1969,SW2 5BL,51.45618152,-0.120122229
School_3119,SW2 1QS,51.45649605,-0.119547932
School_3652,SW2 1NR,51.44615053,-0.123800915
School_1458,CM15 0NJ,51.6662135,0.295580629
School_3480,CM14 5TB,51.66254125,0.268441182
School_3911,CM14 5TB,51.66254125,0.268441182
School_1794,CR0 3JT,51.38148931,-0.117436435
School_3116,CR0 2TB,51.38034593,-0.103960918
School_307,SE8 4QB,51.4717401,-0.028250127
School_322,SE4 1DF,51.47033631,-0.03140642
School_325,SE8 4DX,51.46922962,-0.025493154
School_336,SE14 6AD,51.47441467,-0.038113985
School_343,SE8 4ED,51.4707175,-0.024665731
School_2492,SE14 6TJ,51.47465411,-0.028268396
School_752,BR2 8AA,51.38883722,0.05797331
School_2200,BR2 6BN,51.36120353,0.032158331
School_2225,BR2 8LD,51.38084702,0.044882969
School_2251,BR2 8LD,51.38098453,0.045248356
School_2831,BR2 8HZ,51.38118731,0.043417933
School_2834,BR2 8HP,51.36944284,0.035669044
School_1967,BR2 0DA,51.40708929,0.005734419
School_2148,BR2 9NL,51.39477115,0.032263676
School_2215,BR2 0TB,51.39876939,0.017360016
School_2235,BR2 9EA,51.39382988,0.023252214
School_2841,BR2 9EH,51.39401724,0.020730517
School_3127,BR2 9EA,51.39382988,0.023252214
School_3349,BR1 3BE,51.40670749,0.025330071
School_415,E3 3BT,51.52763566,-0.014142399
School_423,E3 4BU,51.52178517,-0.019687374
School_431,E3 3LL,51.52292897,-0.012343501
School_459,E3 3ER,51.52752293,-0.018645364
School_2504,E3 3QW,51.52339283,-0.009469007
School_224,SW3 6QH,51.49050529,-0.170065463
School_3238,SW7 5LE,51.49473474,-0.178338175
School_3242,SW1X 0EP,51.4972506,-0.160344116
School_3260,SW7 2DG,51.49531271,-0.176759214
School_3753,SW7 5LE,51.49473474,-0.178338175
School_3756,SW1X 0EP,51.4972506,-0.160344116
School_3757,SW1X 0AA,51.49732154,-0.159707341
School_3773,SW7 2DG,51.49531271,-0.176759214
School_4086,SW7 3LQ,51.49267159,-0.177512899
School_708,NW6 7PB,51.54146593,-0.213778953
School_743,NW6 7PB,51.54172285,-0.214706259
School_2241,NW6 7PP,51.54461929,-0.211218091
School_3036,NW6 7BQ,51.54055929,-0.218616575
School_3954,NW6 7BT,51.54325133,-0.214098388
School_1754,RM7 7HR,51.57875318,0.173912023
School_1908,RM7 9EJ,51.57427281,0.164764821
School_2908,RM7 9NX,51.57255695,0.154393628
School_1555,SG13 8RA,51.72902931,-0.117122314
School_1576,EN6 1JW,51.70597838,-0.174974515
School_1578,AL9 7QY,51.72479778,-0.202278384
School_2672,AL9 7BN,51.72743315,-0.183624666
School_3916,AL9 6NS,51.71495377,-0.166390927
School_130,N4 2HQ,51.56507094,-0.099286824
School_3387,N4 2SH,51.5710008,-0.091218454
School_3856,N4 2SH,51.5710008,-0.091218454
School_2671,EN11 8JY,51.75450233,-0.017913326
School_2818,EN10 7DD,51.74069338,-0.024007857
School_1772,N17 6UH,51.59345792,-0.072158733
School_3638,N17 6SB,51.5957804,-0.069028369
School_1110,UB8 3NW,51.52777669,-0.466589766
